"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"PI481930","aestivum","PI 481930","","NSG","","","","Landrace line from Darfur Sudan"
"PI481931","aestivum","PI 481931","","NSG","","","","Landrace line from Darfur Sudan"
"PI486146","aestivum","PI 486146","","NSG","","","","Cultivar from Nebraska United States"
"PI490404","aestivum","PI 490404","","NSG","","","","Cultivated line from Tombouctou Mali"
"PI50929","durum","PI 50929","","NSG","","","","Cultivated line from Zanzibar Tanzania"
"PI519215","aestivum","PI 519215","","NSG","","","","Breeding line from Hungary"
"PI520073","aestivum","PI 520073","","NSG","","","","Breeding line from Federal District Mexico"
"PI520346","aestivum","PI 520346","","NSG","","","","Breeding line from Manitoba Canada"
"PI532056","aestivum","PI 532056","","NSG","","","","Cultivated line from Egypt"
"PI532060","aestivum","PI 532060","","NSG","","","","Cultivated line from Egypt"
"PI532067","aestivum","PI 532067","","NSG","","","","Cultivated line from Gharbiya Egypt"
"PI560596-SEL-WCORS","aestivum","PI 636141","PI636141","NSG","","","","Breeding line from Idaho United States"
"PI560596-SEL-WCOWS","aestivum","PI 636142","PI636142","NSG","","","","Breeding line from Idaho United States"
"PI565314","aestivum","PI 565314","","NSG","","","","Breeding line from Bulgaria"
"PI57555","durum","PI 57555","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57556","durum","PI 57556","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57558","durum","PI 57558","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57560","durum","PI 57560","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57562","durum","PI 57562","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57593","durum","PI 57593","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57595","durum","PI 57595","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57599","durum","PI 57599","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57602","durum","PI 57602","","NSG","","","","Cultivated line from Dnipropetrovsk Ukraine"
"PI57657","aestivum","PI 57657","","NSG","","","","Landrace line from Minya Egypt"
"PI57660","aestivum","PI 57660","","NSG","","","","Landrace line from Alexandria Egypt"
"PI57814","aestivum","PI 57814","","NSG","","","","Landrace line from Delhi India"
"PI57825","aestivum","PI 57825","","NSG","","","","Landrace line from Jammu and Kashmir India"
"PI57988","aestivum","PI 57988","","NSG","","","","Landrace line from Jammu and Kashmir India"
"PI57989","aestivum","PI 57989","","NSG","","","","Landrace line from Jammu and Kashmir India"
"PI61693","aestivum","PI 61693","","NSG","","","","Landrace line from Rumphi Malawi"
"PI62004","aestivum","PI 62004","","NSG","","","","Landrace line from Sichuan China"
"PI65557","aestivum","PI 65557","","NSG","","","","Cultivated line from Saratov Russian Federation"
"PI68235","aestivum","PI 68235","","NSG","","","","Cultivated line from Azerbaijan"
"PI68236","aestivum","PI 68236","","NSG","","","","Cultivated line from Azerbaijan"
"PI68260","durum","PI 68260","","NSG","","","","Cultivated line from Azerbaijan"
"PI68265","aestivum","PI 68265","","NSG","","","","Cultivated line from Azerbaijan"
"PI68266","durum","PI 68266","","NSG","","","","Cultivated line from Azerbaijan"
"PI68267","aestivum","PI 68267","","NSG","","","","Cultivated line from Azerbaijan"
"PI68268","aestivum","PI 68268","","NSG","","","","Cultivated line from Azerbaijan"
"PI68271","durum","PI 68271","","NSG","","","","Cultivated line from Azerbaijan"
"PI68273","aestivum","PI 68273","","NSG","","","","Cultivated line from Azerbaijan"
"PI68275","durum","PI 68275","","NSG","","","","Cultivated line from Azerbaijan"
"PI68281","aestivum","PI 68281","","NSG","","","","Cultivated line from Azerbaijan"
"PI68288","durum","PI 68288","","NSG","","","","Cultivated line from Azerbaijan"
"PI70694","aestivum","PI 70694","","NSG","","","","Landrace line from Iraq"
"PI70695","aestivum","PI 70695","","NSG","","","","Landrace line from Iraq"
"PI70697","aestivum","PI 70697","","NSG","","","","Landrace line from Iraq"
"PI70698","aestivum","PI 70698","","NSG","","","","Landrace line from Iraq"
"PI70700","aestivum","PI 70700","","NSG","","","","Landrace line from Iraq"
"PI70702","aestivum","PI 70702","","NSG","","","","Landrace line from Iraq"
"PI70704","aestivum","PI 70704","","NSG","","","","Landrace line from Iraq"
"PI70706","aestivum","PI 70706","","NSG","","","","Landrace line from Iraq"
"PI70708","aestivum","PI 70708","","NSG","","","","Landrace line from Iraq"
"PI70713","aestivum","PI 70713","","NSG","","","","Landrace line from Iraq"
"PI70714","aestivum","PI 70714","","NSG","","","","Landrace line from Iraq"
"PI70718","durum","PI 70718","","NSG","","","","Landrace line from Iraq"
"PI70720","durum","PI 70720","","NSG","","","","Landrace line from Iraq"
"PI70724","durum","PI 70724","","NSG","","","","Landrace line from Iraq"
"PI70728","durum","PI 70728","","NSG","","","","Landrace line from Iraq"
"PI70732","durum","PI 70732","","NSG","","","","Landrace line from Iraq"
"PI74298","aestivum","PI 74298","","NSG","","","","Landrace line from Jiangsu China"
"PI74305","aestivum","PI 74305","","NSG","","","","Landrace line from Jiangsu China"
"PI74318","aestivum","PI 74318","","NSG","","","","Landrace line from Jiangsu China"
"PI74345","aestivum","PI 74345","","NSG","","","","Landrace line from Jiangsu China"
"PI74346","aestivum","PI 74346","","NSG","","","","Landrace line from Jiangsu China"
"PI84527","aestivum","PI 84527","","NSG","","","","Landrace line from Farghona Uzbekistan"
"PI84529","durum","PI 84529","","NSG","","","","Landrace line from Uzbekistan"
"PI89642","durum","PI 89642","","NSG","","","","Cultivated line from Cortes Honduras"
"PI94336","aestivum","PI 94336","","NSG","","","","Landrace line from Erevan Armenia"
"PI94337","aestivum","PI 94337","","NSG","","","","Landrace line from Armenia"
"PI94341","aestivum","PI 94341","","NSG","","","","Landrace line from Armenia"
"PI94356","aestivum","PI 94356","","NSG","","","","Landrace line from Erevan Armenia"
"PI94365","aestivum","PI 94365","","NSG","","","","Landrace line from Erevan Armenia"
"PI94370","aestivum","PI 94370","","NSG","","","","Landrace line from Erevan Armenia"
"PI94412","aestivum","PI 94412","LINE93","NSG","","","local hybrid / No.16","Breeding line from Bulgaria"
"PI94442","aestivum","PI 94442","","NSG","","","","Landrace line from Kiev Ukraine"
"PI94454","aestivum","PI 94454","","NSG","","","","Landrace line from Former Soviet Union"
"PI94457","aestivum","PI 94457","","NSG","","","","Landrace line from Khmelnytskyy Ukraine"
"PI94464","aestivum","PI 94464","","NSG","","","","Landrace line from Ukraine"
"PI94468","aestivum","PI 94468","","NSG","","","","Landrace line from Krym Ukraine"
"PI94478","aestivum","PI 94478","","NSG","","","","Landrace line from Georgia"
"PI94479","aestivum","PI 94479","","NSG","","","","Landrace line from Kazakhstan"
