Trial,location,planting date,harvest date,latitude,longitude
GRINcore_2003_StripeRust_MtVernon,"Mt. Vernon, WA", 2003-04-01, 2003-07-08, 48.42, -122.33
GRINcore_2004_StripeRust_MtVernon,"Mt. Vernon, WA", 2004-04-01, 2004-06-22, 48.42, -122.33
GRINcore_2005_StripeRust_MtVernon,"Mt. Vernon, WA", 2005-04-01, 2005-06-29, 48.42, -122.33
GRINcore_1989_StripeRust_MtVernon,"Mt. Vernon, WA", 1989-04-01, 1989-08-01, 48.42, -122.33
GRINcore_1990_StripeRust_MtVernon,"Mt. Vernon, WA", 1990-04-01, 1990-08-01, 48.42, -122.33
GRINcore_1992_StripeRust_MtVernon,"Mt. Vernon, WA", 1992-04-01, 1992-08-01, 48.42, -122.33
GRINcore_1997_StripeRust_MtVernon,"Mt. Vernon, WA", 1997-04-01, 1997-07-01, 48.42, -122.33
GRINcore_1999_StripeRust_MtVernon,"Mt. Vernon, WA", 1999-04-01, 1999-07-17, 48.42, -122.33
GRINcore_1983_HessianFly_BiotypeC,"West Lafayette, IN", 1983-04-01, 1983-08-01, 40.42, -86.91
GRINcore_1983_HessianFly_BiotypeE,"West Lafayette, IN", 1983-04-01, 1983-08-01, 40.42, -86.91
GRINcore_1984_HessianFly_BiotypeC,"West Lafayette, IN", 1984-04-01, 1984-08-01, 40.42, -86.91
GRINcore_1984_HessianFly_BiotypeE,"West Lafayette, IN", 1984-04-01, 1984-08-01, 40.42, -86.91
GRINcore_1985_HessianFly_BiotypeC,"West Lafayette, IN", 1985-04-01, 1985-08-01, 40.42, -86.91
GRINcore_1985_HessianFly_BiotypeE,"West Lafayette, IN", 1985-04-01, 1985-08-01, 40.42, -86.91
GRINcore_1987_HessianFly_BiotypeC,"West Lafayette, IN", 1987-04-01, 1987-08-01, 40.42, -86.91
GRINcore_1987_HessianFly_BiotypeE,"West Lafayette, IN", 1987-04-01, 1987-08-01, 40.42, -86.91
GRINcore_1988_HessianFly_BiotypeC,"West Lafayette, IN", 1988-04-01, 1988-08-01, 40.42, -86.91
GRINcore_1988_HessianFly_BiotypeE,"West Lafayette, IN", 1988-04-01, 1988-08-01, 40.42, -86.91
GRINcore_1991_HessianFly_BiotypeGP,"West Lafayette, IN", 1991-04-01, 1991-08-01, 40.42, -86.91
GRINcore_1991_HessianFly_BiotypeL,"West Lafayette, IN", 1991-04-01, 1991-08-01, 40.42, -86.91
GRINcore_1992_HessianFly_BiotypeGP,"West Lafayette, IN", 1992-04-01, 1992-08-01, 40.42, -86.91
GRINcore_1993_HessianFly_BiotypeL,"West Lafayette, IN", 1993-04-01, 1993-08-01, 40.42, -86.91
GRINcore_1981_BuntR39_Pendleton,"Pendleton, OR", 1981-05-01, 1981-09-01, 45.4, -118.46
GRINcore_1984_BuntR39_Pendleton,"Pendleton, OR", 1984-05-01, 1984-09-01, 45.4, -118.46
GRINcore_1984_BuntT1_Pendleton,"Pendleton, OR", 1984-05-01, 1984-09-01, 45.4, -118.46
GRINcore_1985_BuntMultiple1_Pendleton,"Pendleton, OR", 1985-05-01, 1985-09-01, 45.4, -118.46
GRINcore_1985_BuntT1_Pendleton,"Pendleton, OR", 1985-05-01, 1985-09-01, 45.4, -118.46
GRINcore_1986_BuntMultiple1_Pendleton,"Pendleton, OR", 1985-05-01, 1985-09-01, 45.4, -118.46
GRINcore_1986_BuntT1_Pendleton,"Pendleton, OR", 1985-05-01, 1985-09-01, 45.4, -118.46
GRINcore_1992_BuntMultiple1_Aberdeen,"Aberdeen, ID", 1992-05-01, 1992-08-01, 42.57, -112.5
GRINcore_1993_BuntMultiple1_Aberdeen,"Aberdeen, ID", 1993-05-01, 1993-09-01, 42.57, -112.5
GRINcore_1994_BuntMultiple1_Aberdeen,"Aberdeen, ID", 1994-05-01, 1994-09-01, 42.57, -112.5
GRINcore_1995_BuntMultiple1_Aberdeen,"Aberdeen, ID", 1995-05-01, 1995-09-01, 42.57, -112.5
GRINcore_1997_BuntMultiple1_Aberdeen,"Aberdeen, ID", 1997-05-01, 1997-09-01, 42.57, -112.5
GRINcore_1998_BuntMultiple1_Aberdeen,"Aberdeen, ID", 1998-05-01, 1998-09-01, 42.57, -112.5
GRINcore_1999_BuntMultiple2_Aberdeen,"Aberdeen, ID", 1999-05-01, 1999-09-01, 42.57, -112.5
GRINcore_2000_BuntMultiple2_Aberdeen,"Aberdeen, ID", 2000-04-04, 2000-09-01, 42.57, -112.5
GRINcore_2001_BuntMultiple3_Aberdeen,"Aberdeen, ID", 2001-04-06, 2001-09-01, 42.57, -112.5
GRINcore_2002_BuntMultiple3_Aberdeen,"Aberdeen, ID", 2002-04-04, 2002-08-01, 42.57, -112.5
GRINcore_2003_BuntMultiple3_Aberdeen,"Aberdeen, ID", 2003-03-31, 2003-08-01, 42.57, -112.5
GRINcore_2004_BuntMultiple3_Aberdeen,"Aberdeen, ID", 2004-04-15, 2004-08-01, 42.57, -112.5
HWWpanel_2012_Mead,"Ithaca, NE", 2011-10-04, 2012-06-28, 41.16135, -96.425403
GRINcore_2001w_StripeRust_MtVernon,"Mt. Vernon, WA", 2000-10-01, 2001-05-24, 48.42, -122.33
GRINcore_2002w_StripeRust_MtVernon,"Mt. Vernon, WA", 2001-10-01, 2002-06-06, 48.42, -122.33
GRINcore_2003w_StripeRust_MtVernon,"Mt. Vernon, WA", 2002-10-01, 2003-05-30, 48.42, -122.33
GRINcore_2004w_StripeRust_MtVernon,"Mt. Vernon, WA", 2003-10-01, 2004-06-04, 48.42, -122.33
GRINcore_2006w_StripeRust_MtVernon,"Mt. Vernon, WA", 2005-10-01, 2006-06-06, 48.42, -122.33
GRINcore_1989w_StripeRust_MtVernon,"Mt. Vernon, WA", 1988-10-01, 1989-06-01, 48.42, -122.33
GRINcore_1992w_StripeRust_MtVernon,"Mt. Vernon, WA", 1991-10-01, 1992-06-01, 48.42, -122.33
GRINcore_1985_StripeRust_Pullman,"Pullman, WA", 1985-04-01, 1985-08-01, 44.73, -117.18
GRINcore_1986_StripeRust_Pullman,"Pullman, WA", 1986-04-01, 1986-08-01, 44.73, -117.18
GRINcore_1987_StripeRust_Pullman,"Pullman, WA", 1987-04-01, 1987-08-01, 44.73, -117.18
GRINcore_1989_StripeRust_Pullman,"Pullman, WA", 1989-04-01, 1989-08-01, 44.73, -117.18
GRINcore_1992_StripeRust_Pullman,"Pullman, WA", 1992-04-01, 1992-08-01, 44.73, -117.18
GRINcore_1993_StripeRust_Pullman,"Pullman, WA", 1993-04-01, 1993-08-01, 44.73, -117.18
GRINcore_1994_StripeRust_Pullman,"Pullman, WA", 1994-04-01, 1994-08-01, 44.73, -117.18
GRINcore_1999_StripeRust_Pullman,"Pullman, WA", 1999-04-01, 1999-07-23, 44.73, -117.18
GRINcore_2000_StripeRust_Pullman,"Pullman, WA", 2000-04-01, 2000-07-21, 44.73, -117.18
GRINcore_2001_StripeRust_Pullman,"Pullman, WA", 2001-04-01, 2001-07-13, 44.73, -117.18
GRINcore_2002_StripeRust_Pullman,"Pullman, WA", 2002-04-01, 2002-07-17, 44.73, -117.18
GRINcore_2003_StripeRust_Pullman,"Pullman, WA", 2003-04-01, 2003-07-10, 44.73, -117.18
GRINcore_2004_StripeRust_Pullman,"Pullman, WA", 2004-04-01, 2004-07-07, 44.73, -117.18
GRINcore_2005_StripeRust_Pullman,"Pullman, WA", 2005-04-01, 2005-07-05, 44.73, -117.18
GRINcore_2001w_StripeRust_Pullman,"Pullman, WA", 2000-10-01, 2001-07-09, 44.73, -117.18
GRINcore_2002w_StripeRust_Pullman,"Pullman, WA", 2001-10-01, 2002-07-01, 44.73, -117.18
GRINcore_2003w_StripeRust_Pullman,"Pullman, WA", 2002-10-01, 2003-06-25, 44.73, -117.18
GRINcore_2004w_StripeRust_Pullman,"Pullman, WA", 2003-10-01, 2004-06-29, 44.73, -117.18
GRINcore_2006w_StripeRust_Pullman,"Pullman, WA", 2005-10-01, 2006-06-19, 44.73, -117.18
